accession_number,date_admitted,patient_id,rescue_location,suburb,postcode,species
76236,2018-01-03,148518,"Palmview area",PALMVIEW,4553,"Eastern Free-tailed Bat"
76201,2018-01-01,148544,"66 George St Moffat Beach","MOFFAT BEACH",4551,"Pale-headed Rosella"
75982,2018-01-01,148550,"2147 Steve Irwin Way",BEERWAH,4519,"Crested Pigeon"
76177,2018-01-01,148556,"17 Neurum Road",YAROOMBA,4573,"Rainbow Bee-Eater"
76186,2018-01-01,148558,"226 Nambour Mapleton Road",NAMBOUR,4560,"brown rat"
76185,2018-01-01,148560,"226 Nambour Mapleton Road",NAMBOUR,4560,"brown rat"
76183,2018-01-01,148562,"50 Alex Road","MOUNT GLORIOUS",4520,"Red-necked Pademelon"
75983,2018-01-01,148564,"2147 Steve Irwin Way",BEERWAH,4519,"Cattle Egret"
76189,2018-01-01,148566,Buderim,BUDERIM,4556,"Tawny Frog Mouth"
76191,2018-01-01,148568,"296 Pikes Road","GLASS HOUSE MOUNTAINS",4518,"Magpie Lark"
75981,2018-01-01,148570,"4/33 Walan St",MOOLOOLABA,4557,"Rainbow Lorikeet"
75984,2018-01-01,148572,"Gympie Camp Ground",GYMPIE,4570,"Tawny Frog Mouth"
76188,2018-01-01,148574,"tanawha ",TANAWHA,4556,"Fig Bird"
76184,2018-01-01,148576,"12 Station Street",DEAGON,4017,"Black Flying Fox"
76199,2018-01-01,148578,"2565 Old Gympie Road",BEERWAH,4519,"Tawny Frog Mouth"
76202,2018-01-01,148580,"9 Wharf Road","BLI BLI",4560,"Spotted Turtle Dove"
76181,2018-01-01,148582,"15 Saleng Cres",WARANA,4575,"Australian Magpie"
76200,2018-01-01,148584,Nambour,NAMBOUR,4560,"Australian Magpie"
76182,2018-01-01,148586,"Steve Irwin Way",BEERWAH,4519,"Eastern Water Dragon"
76198,2018-01-01,148588,"Woorim Beach",WOORIM,4507,"Pied Cormorant"
76197,2018-01-01,148590,"30 Oxford Close","SIPPY DOWNS",4556,"Rainbow Lorikeet"
76196,2018-01-01,148594,"Caboolture Camp Ground",CABOOLTURE,4510,"Grey-Headed Flying Fox"
76195,2018-01-01,148596,Kilcoy,KILCOY,4515,"Black Flying Fox"
76190,2018-01-01,148598,"245 Bartholomew Road",ELIMBA,,"Red Backed Wren"
76194,2018-01-01,148602,"245 Bartholomew Rad",ELIMBAH,4516,"Red Backed Wren"
76192,2018-01-01,148606,"48 Caboolture River Road",MORAYFIELD,4506,"Rainbow Lorikeet"
76193,2018-01-01,148610,"37 Olway Cres","ALEXANDRA HEADLAND",4572,"Laughing Kookaburra"
76215,2018-01-02,148612,Kilcoy,KILCOY,4515,"Laughing Kookaburra"
76223,2018-01-02,148618,"9 Bangalow Close",PALMVIEW,4553,Koala
76217,2018-01-02,148620,"Off Display Otter Exhibit",BEERWAH,4519,"Pink-tongued Skink"
76227,2018-01-02,148622,"Ipswich Boonah Road",PURGA,4306,"Eastern Grey Kangaroo"
76222,2018-01-02,148626,"Springburn Drive","GLASS HOUSE MOUNTAINS",4518,"Squirrel Glider"
75985,2018-01-02,148628,"2 Lawson St","GOLDEN BEACH",4551,"Eastern Forest Bat"
75988,2018-01-02,148630,"17 Bellay Road",BEACHMERE,4510,"Beccari's Free-tailed Bat"
76221,2018-01-02,148634,"3 Mari Street","ALEXANDRA HEADLAND",4572,"Pacific Black Duck"
75986,2018-01-02,148636,"200 Pelican Waters Blvd","PELICAN WATERS",4551,"Sacred Kingfisher"
76216,2018-01-02,148640,"Garden Scape  Oakey Flat Road",MORAYFIELD,4506,"Common Brushtail Possum"
76218,2018-01-02,148642,Kilcoy,KILCOY,4515,"Black Flying Fox"
76219,2018-01-02,148646,"28 Newells Road",BEERWAH,4519,"Plumed Whistling Duck"
76220,2018-01-02,148648,"Dingo Enclosure",BEERWAH,4519,"Eastern Water Dragon"
76224,2018-01-02,148650,"Long Tan Dve / Flowers Rd",CABOOLTURE,4510,"Lewins Honeyeater"
76205,2018-01-02,148652,"Oval Ave",CALOUNDRA,4551,"Ringtail Possum"
76206,2018-01-02,148656,Kilcoy,KILCOY,4515,"Black Flying Fox"
76207,2018-01-02,148658,Kilcoy,KILCOY,4515,"Black Flying Fox"
75987,2018-01-02,148662,"7 Montrose St",BEERWAH,4519,"Beccari's Free-tailed Bat"
76213,2018-01-02,148664,"388 Brandenburg Rd","BALD KNOB",4552,"Blue-tongued Skink"
76214,2018-01-02,148666,"Bella Grace Kindergarten",BEERWAH,4519,"Little Wattlebird"
76208,2018-01-02,148668,"Tunnel Ridge Road",BEERWAH,4519,"Grey Butcher Bird"
76210,2018-01-02,148670,"tanawha vets",TANAWHA,4556,"Ringtail Possum"
76258,2018-01-04,148672,"Burnett St",BUDERIM,4556,"Tawny Frog Mouth"
76249,2018-01-04,148674,"River Heads","HERVEY BAY",4655,"Bearded Dragon"
76247,2018-01-04,148676,"Teddington Rd",TINANA,4650,"Plumed Whistling Duck"
76256,2018-01-04,148678,"Dicky Beach","DICKY BEACH",4551,"Rainbow Lorikeet"
76253,2018-01-04,148682,"118 Narrow Leaf  Rd",ADVANCETOWN,4211,"Common Brushtail Possum"
76243,2018-01-04,148684,"BP Service Centre North Bound",CABOOLTURE,4510,"Gould's Long-eared Bat"
76245,2018-01-04,148686,"Milen Crt",COOLUM,4573,"Rainbow Lorikeet"
76251,2018-01-04,148690,"118 Narrow Leaf  Rd",ADVANCETOWN,4211,"Black Flying Fox"
76252,2018-01-04,148694,"118 Narrow Leaf  Rd",ADVANCETOWN,4211,"Black Flying Fox"
76244,2018-01-04,148696,nambour,NAMBOUR,4560,"Carpet Python"
76242,2018-01-04,148698,"Couty Road",WAMURAN,4512,"Common Brushtail Possum"
76238,2018-01-03,148708,"Poinsetta Ave (Fish n chip shop)",MOOLOOLABA,4557,"Fig Bird"
76239,2018-01-03,148710,"52-56 Shaun Parade",ELIMBA,,Galah
75995,2018-01-03,148712,"12 Starling Crt",NARANGBA,4504,"Little Friarbird"
76240,2018-01-03,148714,"22 Aleiyan St",CABOOLTURE,4510,"Green Tree Frog"
75993,2018-01-03,148716,"11 Tattler Crt","UPPER CABOOLTURE",4510,"Fig Bird"
75990,2018-01-03,148720,"7 Bosun Place ",WURTULLA,4575,"Magpie Lark"
76230,2018-01-03,148724,"94 Ilcens Road",ILKLEY,4554,"Sulphur-crested Cockatoo"
75994,2018-01-03,148726,"Kawana Link Nicklin Way",MOOLOOLABA,4557,"Broad-shelled Turtle"
76231,2018-01-03,148728,"Ridge Road",MAROOCHYDORE,4558,"Eastern Water Dragon"
75992,2018-01-03,148730,"170 Morayfield Road",MORAYFIELD,4506,"Channel-billed Cuckoo"
76301,2018-01-06,148734,"170 Morayfield Road",MORAYFIELD,4506,"Common Brushtail Possum"
76234,2018-01-03,148736,"Glasshouse Forestry Rd","GLASS HOUSE MOUNTAINS",4518,"Laughing Kookaburra"
76233,2018-01-03,148740,"Western Ave",MONTVILLE,4560,"Black Flying Fox"
76226,2018-01-03,148742,"8 Elsa Crt",PEACHESTER,4519,"Wood Duck"
76235,2018-01-03,148744,"168 Bowen Road","GLASSHOUSE MOUNTAINS",4518,"Eastern Yellow Robin"
76272,2018-01-05,148746,"450 McConnell Road",BRACALBA,4512,"Yellow-footed Antechinus"
76225,2018-01-03,148748,"Peachester Range",PEACHESTER,4519,"Broad-shelled Turtle"
76229,2018-01-03,148750,Kilcoy,KILCOY,4515,"Black Flying Fox"
76212,2018-01-02,148752,"no address given",BEERWAH,4519,"Torresian Crow"
76271,2018-01-05,148754,"2/15 Ku Ring Gai Court",KULUIN,4558,"Rainbow Lorikeet"
75991,2018-01-03,148756,"Tallowwood Dve",KULUIN,4558,"Australian Magpie"
76285,2018-01-06,148758,"14 Coles St","ARANA HILLS",4054,"Fig Bird"
75989,2018-01-03,148760,"Main St",LANDSBOROUGH,4550,"Blue-faced Honeyeater"
76270,2018-01-05,148762,"6 Bluebush Avenue",BUDERIM,4556,"Brown Antechinus"
76232,2018-01-03,148764,"Avon Ave","BANKSIA BEACH",4507,"Eastern Grey Kangaroo"
76269,2018-01-05,148766,"6 Bluebush Avenue",BUDERIM,4556,"Brown Antechinus"
76287,2018-01-06,148774,"10 Lookout Court","CAMP MOUNTAIN",4520,"Pied Butcher Bird"
76259,2018-01-05,148776,"Bruce Highway near Caboolture exit",CABOOLTURE,4510,"Magpie Lark"
76268,2018-01-05,148780,"6 Bluebush Avenue",BUDERIM,4556,"Brown Antechinus"
76262,2018-01-05,148782,"60 Firr Tail Court",MORAYFIELD,4506,"Australian Magpie"
76266,2018-01-05,148784,"Wildlife Sanctuary",MARYBOROUGH,4650,"Eastern Grey Kangaroo"
76264,2018-01-05,148788,"Recreational Park behind bowls club","GLASSHOUSE MOUNTAINS",4518,"Laughing Kookaburra"
75997,2018-01-05,148790,"Somerset Dam","SOMERSET DAM",4312,"Black Swan"
75998,2018-01-05,148792,"149 Barsons Road",MONTVILLE,4560,"Short-eared Mountain Possum"
76000,2018-01-06,148796,"Retschlag Road","SANDY CREEK",4515,"Common Koel"
76275,2018-01-05,148800,"old Landsborough Road & Mont Street",BEERWAH,4519,"Azure Kingfisher"
76277,2018-01-05,148802,"68 Beerburrum Street","DICKY BEACH",4551,"Australian Brush-turkey"
76279,2018-01-05,148804,"Aspley Brisbane",ASPLEY,4034,"Ringtail Possum"
76298,2018-01-07,148806,"Stumers Creek  ","COOLUM BEACH",4573,"White-Breasted Woodswallow"
76280,2018-01-05,148808,"2 Church Street",BEERBURRUM,4517,"Blue-tongued Skink"
76282,2018-01-06,148810,"14 Coles Street","ARANA HILLS",4054,"Fig Bird"
76283,2018-01-06,148812,"14 Coles Street","ARANA HILLS",4054,"Fig Bird"
76284,2018-01-06,148814,"Chermside Shopping Centre",CHERMSIDE,4032,"Black Flying Fox"
76286,2018-01-06,148816,"14 Coles St","ARANA HILLS",4054,"Fig Bird"
76288,2018-01-06,148818,"200 Tanawha Road",TANAWHA,4556,"Beccari's Free-tailed Bat"
76289,2018-01-06,148820,"89 Smiths Road",GOODNA,4300,"Blue-tongued Skink"
76290,2018-01-06,148822,"behind football field",COORAN,4569,"Black Flying Fox"
76291,2018-01-06,148824,"15 Appaloosa Close",CABOOLTURE,4510,"Northern Brown Bandicoot"
76292,2018-01-06,148826,"Douglas St",NAMBOUR,4560,"Blue-tongued Skink"
76293,2018-01-06,148828,"8 Dorian Cres","SIPPY DOWNS",4556,"Blue-tongued Skink"
76296,2018-01-06,148830,"Third Ave",BONGAREE,4507,"Ringtail Possum"
76302,2018-01-06,148832,"21 Kevin Close",CABOOLTURE,4510,"Striped Honeyeater"
76303,2018-01-06,148834,"11 Jan Court",CABOOLTURE,4510,"Bearded Dragon"
76304,2018-01-06,148836,"Sippy Creek Animal Refuge",TANAWHA,4556,"Green Tree Frog"
76294,2018-01-06,148838,"23 Arcadia Drive",BEERWAH,4519,"Carpet Python"
76246,2018-01-04,148840,"2 Blackall Terrace",NAMBOUR,4560,"Laughing Kookaburra"
76265,2018-01-05,148842,"Moloolah - private address","MOOLOOLAH VALLEY",4553,"Laughing Kookaburra"
76273,2018-01-05,148844,"16196 Bunya Hwy",MURGON,4605,"Black Striped Wallaby"
76187,2018-01-01,148850,"Aussie World Golf Course",PALMVIEW,4553,"Fig Bird"
76178,2018-01-01,148852,"10 Fairy Wren Court",BEERWAH,4519,"Fig Bird"
76371,2018-01-08,148854,Unknown,"PLACID HILLS",4343,"Common Brushtail Possum"
76359,2018-01-07,148856,""Canberra Heights" rear entrance","KINGS BEACH",4551,"Magpie Lark"
76267,2018-01-05,148858,Unknown,PALMWOODS,4555,"Fig Bird"
76281,2018-01-05,148860,"95/23 Macadamia Drive",MALENY,4552,"Brown Quail"
76360,2018-01-07,148862,"19 Clearly Street",CABOOLTURE,4510,"Spotted Turtle Dove"
76361,2018-01-07,148868,Kurwongbah,KURWONGBAH,4503,Koala
76309,2018-01-07,148872,"285 Reesville Road",MALENY,4552,Koala
76250,2018-01-04,148874,"2 South Skylne Road",GOONELLABAH,2480,Koala
76313,2018-01-09,148876,"165 Doyle Road",WOOTHA,4552,Koala
76241,2018-01-03,148878,"4-10 Windermere Road","ALEXANDRA HILLS",4161,Koala
76382,2018-01-09,148880,"Centenial Park, Shore Street West",CLEVELAND,4163,Koala
76211,2018-01-02,148884,Nambour,NAMBOUR,4560,"Fig Bird"
76228,2018-01-03,148886,"La Vida Restaurant",NOOSA,,"Carpet Python"
76248,2018-01-04,148888,"Ann Street lakes",TORQUAY,4655,"Black Swan"
76276,2018-01-05,148890,"Lindsay Road",BUDERIM,4556,"Noisy Minor"
76278,2018-01-05,148892,"6 Scottlynd Place","COOLUM BEACH",4573,"Common Brushtail Possum"
76297,2018-01-07,148894,"10 Argyle Crescent","COES CREEK",4560,"Carpet Python"
76299,2018-01-07,148896,"Dicky Beach Caravan Park","DICKY BEACH",4551,"Fig Bird"
76300,2018-01-07,148898,"19 Echo Street","PELICAN WATERS",4551,"Blue-tongued Skink"
76305,2018-01-07,148900,"1 Clearwater Crescent",CABOOLTURE,4510,"Rainbow Lorikeet"
76306,2018-01-07,148902,"20 Poinciana Avenue",MOOLOOLABA,4557,"Ringtail Possum"
76308,2018-01-07,148904,"11 Yvonne Street",HIGHWORTH,4560,"Green Tree Snake"
76351,2018-01-07,148906,"4 River Gum Close","MOOLOOLAH VALLEY",4553,"Ringtail Possum"
76352,2018-01-07,148908,"Redcliffe Hospital",REDCLIFFE,4020,"Fig Bird"
76353,2018-01-07,148910,1770,"AGNES WATER",4677,"Burdekin Duck"
76354,2018-01-07,148912,"62 Whitepatch Esplanade","WHITE PATCH",4507,"Tawny Frog Mouth"
76355,2018-01-07,148918,"21 River Gum Close","MOOLOOLAH VALLEY",4553,"Blue-faced Honeyeater"
76356,2018-01-07,148922,"68 Queen Street",CALOUNDRA,4551,"Rainbow Lorikeet"
76357,2018-01-07,148926,"Bolton and Clarke Streets",CALOUNDRA,4551,"Rainbow Lorikeet"
76358,2018-01-07,148928,"Newman Lane",D'AGUILAR,4514,"Laughing Kookaburra"
76364,2018-01-07,148930,"30 Gallery Place","LITTLE MOUNTAIN",4551,"Rainbow Lorikeet"
76365,2018-01-07,148932,"Caloundra West","CALOUNDRA WEST",4551,"Pink-tongued Skink"
76310,2018-01-08,148934,"Picnic Parade",MAROOCHYDORE,4558,"Australian Pelican"
76366,2018-01-08,148936,"31 Graham Drive",LANDSBOROUGH,4550,"Ringtail Possum"
76368,2018-01-08,148940,"17 Ballynde Street","BRACKEN RIDGE",4017,"Black Flying Fox"
76369,2018-01-08,148942,"Bells Creek Road","BELLS CREEK",4551,Dollarbird
76370,2018-01-08,148944,"11 Capri Street","CALOUNDRA WEST",4551,"Welcome Swallow"
76372,2018-01-08,148946,"11 Capri Street","CALOUNDRA WEST",4551,"Welcome Swallow"
76373,2018-01-08,148948,"11 Capri Street","CALOUNDRA WEST",4551,"Welcome Swallow"
76374,2018-01-08,148950,"Cotton Tree Caravan Park","COTTON TREE",4558,"Australian Pelican"
76376,2018-01-08,148954,"47 Brisbane Road",MOOLOOLABA,4557,"Ringtail Possum"
76377,2018-01-08,148956,"38 Birch Court",BURPENGARY,4505,"Eastern Brown Snake"
76311,2018-01-09,148958,"Anzac Avenue",MAROOCHYDORE,4558,"Ringtail Possum"
76312,2018-01-09,148960,"6 Bracken Street",WOORIM,4507,"Ringtail Possum"
76379,2018-01-09,148962,"Bunnings carpark",MAROOCHYDORE,4558,"Channel-billed Cuckoo"
76380,2018-01-09,148964,"Sunshine Coast Day Surgery, cnr 2nd Avenue and Memorial Drive",MAROOCHYDORE,4558,"Crested Pigeon"
76381,2018-01-09,148966,"94 Zgrajewski Road","YANDINA CREEK",4561,"Pacific Baza"
76383,2018-01-09,148968,"172 Candle Mountain Drive",PEACHESTER,4519,"Azure Kingfisher"
76384,2018-01-09,148970,"27-29 Canopy Place",BURPENGARY,4505,"Common Brushtail Possum"
76386,2018-01-09,148972,"Peregian Beach","PEREGIAN BEACH",4573,"Elegant Seasnake"
76388,2018-01-09,148974,"76 Stringybark Road",BUDERIM,4556,"Carpet Python"
76389,2018-01-09,148976,"Beerwah Parade",BEERWAH,4519,"Rainbow Lorikeet"
76393,2018-01-09,148978,"84 Hardwood Road",LANDSBOROUGH,4550,"King Parrot"
76314,2018-01-10,148980,Buderim,BUDERIM,4556,"Torresian Crow"
76315,2018-01-10,148982,Tanawha,TANAWHA,4556,"Fig Bird"
76397,2018-01-10,148984,"Emu Street",SHELDON,4157,"Swamp Wallaby"
76436,2018-01-13,148986,"14 Coles Street","ARANA HILLS",4054,"Fig Bird"
76330,2018-01-13,148988,"202 Glenmount Road",TANAWHA,4556,"Eastern Yellow Robin"
76404,2018-01-10,148990,Woodford,WOODFORD,4514,"Sacred Kingfisher"
76255,2018-01-04,148992,"Meridan Way, Bambini's","MERIDAN PLAINS",4551,"Torresian Crow"
76402,2018-01-10,148994,"Ewan Maddock Dam","MOOLOOLAH VALLEY",4553,"Brisbane River Turtle"
76399,2018-01-10,148996,"120 Sahara Road","GLASS HOUSE MOUNTAINS",4518,"Carpet Python"
76261,2018-01-05,148998,"77 Tanawha Road",TANAWHA,4556,"Carpet Python"
76332,2018-01-13,149000,"18 McClaren Place",BUDERIM,4556,"Eastern Water Dragon"
76401,2018-01-10,149006,"22 Mirnoo Street",CURRIMUNDI,4551,"Blue-tongued Skink"
76316,2018-01-10,149008,"on wall at tiger temple viewing",BEERWAH,4519,"Gould's Long-eared Bat"
76318,2018-01-10,149010,"5 oomoo St",BUDDINA,4575,"Blue-tongued Skink"
76400,2018-01-10,149012,"Myrtle ST",MALENY,4552,"Satin Bowerbird"
76405,2018-01-10,149016,Woodford,WOODFORD,4514,"Fig Bird"
76406,2018-01-10,149018,Woodford,WOODFORD,4514,Dollarbird
76407,2018-01-10,149020,Woodford,WOODFORD,4514,"Black Faced Cuckoo Shrike"
76408,2018-01-10,149022,"45 Dalby St",MAROOCHYDORE,4558,"Rainbow Lorikeet"
76409,2018-01-10,149024,"6 Arunta St",BUDDINA,4575,"Magpie Lark"
76390,2018-01-10,149030,Morayfield,MORAYFIELD,4506,"Gould's Long-eared Bat"
76391,2018-01-10,149032,"in garden",MOOLOOLABA,4557,"Blue-tongued Skink"
76392,2018-01-10,149034,"near garage on walkway in township",BEERBURRUM,4517,Dollarbird
76394,2018-01-10,149036,"917 Kidaman Creek Rd",CURRAMORE,4552,"Lace Monitor"
76395,2018-01-10,149038,"QUS Stafford Heights","STAFFORD HEIGHTS",4053,"Ringtail Possum"
76396,2018-01-10,149040,Aspley,ASPLEY,4034,"Ringtail Possum"
76398,2018-01-10,149042,"ABC Narrowleaf Rd",ADVANCETOWN,4211,"Black Flying Fox"
76319,2018-01-11,149044,"781 Curramore Road",CURRAMORE,4552,"Red-necked Wallaby"
76378,2018-01-09,149046,"2/124 point Cartwright Drive",BUDDINA,4575,"Blue-tongued Skink"
76385,2018-01-09,149048,"11 Pinelands Drive",BEERWAH,4519,"Common Brushtail Possum"
76387,2018-01-09,149050,"Mudjimba Beach PArk",MUDJIMBA,4564,"Fig Bird"
76363,2018-01-07,149052,"9 Outlook Drive",NINDERRY,4561,"Spangled Drongo"
76237,2018-01-03,149054,"Glass House Mountains","GLASS HOUSE MOUNTAINS",4518,"Australian Magpie"
76320,2018-01-11,149056,NULL,UNKNOWN,,"Rainbow Lorikeet"
76321,2018-01-11,149058,"49 Casuarina Drive","LITTLE MOUNTAIN",4551,"Pale-headed Rosella"
76324,2018-01-12,149060,"5/9 3Rd Ave",BONGAREE,4507,"Black Flying Fox"
76322,2018-01-11,149062,"Tulipoah Court","LITTLE MOUNTAIN",4551,"Eastern Grey Kangaroo"
76323,2018-01-11,149064,"Landsborough - Seventh Day Adventis Church",LANDSBOROUGH,4550,"Sulphur-crested Cockatoo"
76412,2018-01-11,149066,"Int. Village Way & Parkland Blv near shops","LITTLE MOUNTAIN",4551,"Eastern Grey Kangaroo"
